b2695cba-e585-4328-8640-ff5526d0f0c4,234985957,2020-12-15T08:37:16.412Z,2020-12-15T08:37:16.412Z,1,打客服先止付看看？,0,M
d1f430f7-8a86-4a36-90f0-30f358a7ef3e,234985957,2020-12-15T08:47:31.435Z,2020-12-15T08:47:31.435Z,2,"會刷退
可以估狗淘寶 交易關閉",0,F
e5836fbb-95e8-4589-b6a9-d2efeffde6ed,234985957,2020-12-15T08:56:46.225Z,2020-12-15T08:56:46.225Z,3,會交易關閉是不是太晚付款的關係啊,0,F
3ac7722e-d6b8-41c8-9cb5-a4ee42992f24,234985957,2020-12-15T09:12:13.929Z,2020-12-15T09:12:32.594Z,4,"B1 來不及了 信用卡公司說已經刷成功了😭
B2 好怕沒有退款😭😭
B3 我是馬上下單馬上刷的😩",0,F
c32f237e-0ae9-45c6-9f9b-0d063c684d7b,234985621,2020-12-15T09:08:16.656Z,2020-12-15T09:08:16.656Z,1,"你不要領 等他退回去
錢就會退下來",0,F
e621a086-b637-43ed-b232-78bbd56bdd88,234985220,2020-12-15T06:58:17.102Z,2020-12-15T06:58:17.102Z,1,蔓越莓是吃尿道的吧,0,F
eba9da5b-261f-4373-a1ac-a7eb0e2d548c,234985220,2020-12-15T07:24:13.083Z,2020-12-15T07:24:13.083Z,2,看醫生比較實在吧,0,F
65877ecc-eea0-49f6-887a-68ac4848dd99,234985220,2020-12-15T08:49:06.460Z,2020-12-15T08:49:06.460Z,3,"我困擾多年了
看醫生+狂喝水最有效",0,F
9cd5b1ed-e982-43b9-9ddc-8d58d9e653b8,234984890,2020-12-15T05:22:00.505Z,2020-12-15T05:22:00.505Z,1,你雖,0,F
45bebabc-c608-4181-9354-f843744f667d,234984890,2020-12-15T05:23:24.416Z,2020-12-15T05:23:24.416Z,2,B1 我也這樣覺得😂,0,F
7476df82-0a89-497e-915a-ca9f61848801,234984890,2020-12-15T06:06:49.253Z,2020-12-15T06:06:49.253Z,3,我在官網上買 也是有瑕疵～我有私訊粉專 他們馬上說要寄一個給我,0,F
7a8eddf0-6368-4ae8-8866-42b811442488,234984890,2020-12-15T06:28:36.470Z,2020-12-15T06:28:36.470Z,4,我在官網買兩個 都沒問題,0,F
a5a115a0-463a-4a46-8f3e-ed6fcb8065ba,234984729,2020-12-15T04:36:46.304Z,2020-12-15T04:36:46.304Z,1,*這家代購粉絲人數很多 我是看到見習網美小吳以前的影片 有推過這家,0,F
a32e4683-fb05-4f36-8825-fa077d7f076e,234984729,2020-12-15T05:17:27.408Z,2020-12-15T05:17:27.408Z,2,雖然我沒買不過有看到小吳發文，好像是無預警被IG刪除帳號,0,F
693c0075-a8a3-4f7e-be67-5cadcbe3a94e,234984729,2020-12-15T06:19:37.985Z,2020-12-15T06:19:37.985Z,3,"她有再開備用帳號 beaut_room_tw2
你可以去那邊問問看",0,F
4511b4ff-177a-464e-b0a7-1e492342fff5,234984729,2020-12-15T07:36:37.257Z,2020-12-15T07:36:37.257Z,4,"B2 
B3
謝謝你們！有我看到ig了 感激不盡 ☺️☺️☺️🥰",0,F
43da30ad-dd13-4cd2-aa30-1b2191c56743,234984729,2020-12-15T07:53:43.201Z,2020-12-15T07:53:43.201Z,5,"這家不是要用官方line下單嗎
可以去密line",0,F
475a347c-e880-4ad4-abfc-a98954b1e482,234984729,2020-12-15T09:02:37.937Z,2020-12-15T09:02:37.937Z,6,"這家老闆很公開透明是誰啊
有什麼好怕被騙的😂
我有買過放心～
訊息幾個小時內就會回覆的",0,F
0e773ec5-d8a7-4515-8dfb-cedd093c41b7,234984683,2020-12-15T04:34:44.138Z,2020-12-15T04:35:40.047Z,1,"首先這個60元是物流運費，付給超商的，不用給買家

店到店固定運費60元

匯款是退回商品價值，例如:退100元到你的郵局帳戶",0,M
7bc33d9f-410a-4194-9c64-0f2c7852171a,234984683,2020-12-15T04:49:48.820Z,2020-12-15T04:49:57.323Z,2,"B1 謝謝你的回答！
可是這裡寫7天內的物流成本
賣家需支付⋯
https://i.imgur.com/ohv84na.jpg",0,F
b479fdfb-3d15-4d54-b199-2e7db936ad09,234984683,2020-12-15T05:43:02.711Z,2020-12-15T05:43:02.711Z,3,"你已經確認收貨
賣家其實可以不讓你退的
（蝦皮只保障未確認收貨的退貨）",3,F
da7719be-600c-4517-a368-e5a169f56641,234984683,2020-12-15T06:18:44.647Z,2020-12-15T06:18:44.647Z,4,B3 瞭解了！謝謝妳！,0,F
6b675982-cf0c-4b3e-b1ab-448cc54706ab,234984361,2020-12-15T03:41:35.938Z,2020-12-15T03:43:21.642Z,1,打給信用卡公司問比較快又清楚，他們看得到哪時候刷的刷了些什麼，而且我之前打的經驗客服不會這樣回覆欸，不是我刷的我都馬上說那不是，他們會馬上停卡之類的,0,F
d7118599-7a45-43a3-8030-bb0658dec0bb,234984361,2020-12-15T03:52:56.587Z,2020-12-15T03:52:56.587Z,2,"B1 我早上打的就是信用卡的客服，也有跟他說我只有前兩筆的款項，最後這一筆不知道是怎麼來的，但客服就只跟我說他那邊沒辦法取消這個扣款，要透過亞馬遜😭
剛剛是上網看到有人說他們會有預購款項，但不是很確定我這個情況是不是這樣的...QQ
亞馬遜客服也都還沒有回信給我...",0,F
cd9c49e4-2b21-409a-9509-52c613531d19,234984361,2020-12-15T08:51:21.120Z,2020-12-15T08:52:08.483Z,3,"我最近刷國外的也很常這樣= =（超討厭
我打電話給信用卡公司跟你得到的回覆差不多
但收到帳單後的確是沒有請款的",0,F
b3cf8b6c-e7f9-4272-9208-811002ad3e89,234984361,2020-12-15T09:07:09.501Z,2020-12-15T09:07:09.501Z,4,"B3 我之前是都沒有刷國外的費用
所以這次這樣讓我很害怕😱
現在只能再等這個月帳單出來，確定沒有扣款才能安心了🥲",0,F
c577a069-68c5-4150-9978-cbf13a7d1da4,234984342,2020-12-15T03:32:52.262Z,2020-12-15T03:32:52.262Z,1,看起來像合成的,0,M
8b332eb6-beed-4c9d-96d2-5d55c4a8850d,234984198,2020-12-15T04:01:27.916Z,2020-12-15T04:01:27.916Z,1,+1 QAQ,0,M
29f8a996-f69d-45bb-9d09-b7785e52deba,234984198,2020-12-15T04:05:02.526Z,2020-12-15T04:05:02.526Z,2,跪求折扣碼!,0,M
7ecc57ec-2bdb-4ce2-af26-a31a173dc4b6,234984198,2020-12-15T06:30:05.695Z,2020-12-15T06:30:05.695Z,3,同求QQ,0,F
53da382a-4abc-45bc-bc38-08d07a865059,234984178,2020-12-15T03:03:47.806Z,2020-12-15T03:03:47.806Z,1,"也不用買家太多的商量空間 當然如果買家很好 賣家也願意 那就沒問題 但如果想這種打模糊杖的就是想要多佔一些便宜 如果他可以接受 就使用 不行接受 就退貨 退款 
像這一種就是想要貪小便宜 如果我的話會態度強硬 退或不退 超過時間視同你接受 曾經也有給買家方便 到時候又這邊拖時間不退貨(款) 只是讓自己更麻煩",3,M
ad7896d7-dc55-482a-be5e-e30b66400035,234984178,2020-12-15T03:06:37.674Z,2020-12-15T03:33:16.691Z,2,"B1 我們都對法律不是很清楚
很怕對方動不動提告什麼的
現在這樣… 很想跟她說不回覆就不給退
但如果到自動完成訂單我們應該就不給退了",0,F
35636718-bcce-4dc5-a195-072c5c5f7e27,234984178,2020-12-15T03:31:24.352Z,2020-12-15T03:32:12.905Z,3,"個人賣場二手商品本來就沒有所謂的鑑賞期 蝦皮提供買家保護 如果商品的狀況有明確告知 退款的條件有說清除 那我就不會跟買家在多說什麼 蝦皮承諾時間眼內 如果有退貨申請就處理退貨退款 如果沒有就不處理
在過時間後如果還有異樣 基本上我就不會處理了 如果該告知的都有告知 那基本上就是我們有利 不用擔心太多",1,M
973a8764-edaf-4099-9b68-a8564a5d5f76,234984178,2020-12-15T03:37:27.632Z,2020-12-15T06:04:10.127Z,4,B3 好的😣真的非常謝謝你 這麼耐心回覆,0,F
119cabcc-507d-4d38-8c1a-af4ea450727a,234984057,2020-12-15T02:22:14.995Z,2020-12-15T02:22:14.995Z,1,帶證件就好 不用發票,0,M
43bb4731-86fb-45bb-9a96-0158f1cc14d0,234984012,2020-12-15T04:17:56.657Z,2020-12-15T04:17:56.657Z,1,1可以網購嗎？我剛剛查了好像沒有看到網路網站,1,F
e8577e78-8603-4ea4-8627-1608cfae64ed,234984012,2020-12-15T04:28:44.465Z,2020-12-15T04:28:44.465Z,2,"B1 可以唷～
她們主要都在臉書社團沒有蝦皮之類的網站🥺
私訊購買  不過網購要先匯款唷",0,F
f87ee793-094f-4100-ac20-5ee253865c22,234984012,2020-12-15T08:35:41.001Z,2020-12-15T08:35:41.001Z,3,第二間買爆...花了快兩萬,0,F
c70a4f2f-37cb-47a6-8895-2e70b9fe7017,234983950,2020-12-15T02:29:26.242Z,2020-12-15T02:29:26.242Z,1,"個人開心就好吧
我用啥也沒回饋的也買的很開心
沒有什麼該刷這個卡還是那個卡的說法",0,F
4c907a2e-179c-460b-9d01-e0cb8d5fe564,234983944,2020-12-15T02:43:56.071Z,2020-12-15T02:43:56.071Z,1,"退貨流程都是賣家先收到退貨商品 確認商品無誤 才會接受蝦皮退款  而且是由系統處理的 不是在對話打 （訂單編號000xxxxx我同意由蝦皮扣款.....）
這通常是在超過蝦皮承諾時間 或是出貨之前有爭議才會這樣處理 

若他真的有出貨 會有收據吧 如果他還是逃避 蝦皮跟消保都是保護消費者取向的 錢也不多 就當做買經驗吧",6,M
7c48a701-5483-4d4d-a02c-062a327ada7c,234983944,2020-12-15T05:22:54.919Z,2020-12-15T05:22:54.919Z,2,"已經退款給他了
真的沒拿到退回來的東西 可以告侵佔",3,F
3ef191a9-e699-4912-9003-f0ac027c209a,234983944,2020-12-15T05:41:08.493Z,2020-12-15T05:41:08.493Z,3,"B1 會這樣是因為她已經按訂單完成了 他口頭一直說有 但也給不出單號 又一直叫我去報警 
B2 沒錯我知道法律上我站得住腳 但是開庭那些費用 讓我很猶豫 想給他那種人教訓 但錢的問題也滿現實的",0,F
6141db84-fac5-4735-8c36-0ea98f8d7729,234983930,2020-12-15T01:27:56.062Z,2020-12-15T01:27:56.062Z,1,填錯號碼吧,0,F
2e55bf13-88d3-4c46-b79e-afa4099bb91c,234983761,2020-12-15T00:15:31.131Z,2020-12-15T00:15:56.165Z,1,境外貨，要報關，就跟買淘寶一樣。,1,M
49e06597-b4b2-420a-a7e8-784789de0f2b,234983761,2020-12-15T01:31:13.123Z,2020-12-15T01:31:13.123Z,2,"填的可能是街口
EZ是必填的需下載app
認證成功後再到蝦皮填寫",1,F
e511dc49-1dc4-4ac5-9fa9-13cfd8a88929,234983761,2020-12-15T01:36:25.845Z,2020-12-15T01:36:25.845Z,3,"B1 對的 是海外的
B2 嘿對街口 ...你有填嗎？所以不填我就收不到貨囉？我是填貨到付款全家商店
怎麼現在要搞這些呀 (很少網購🤔)",0,F
8f5e33fc-e226-4071-b4ca-d120b66d0c70,234983761,2020-12-15T01:40:55.704Z,2020-12-15T01:41:11.519Z,4,"B3 填那個是申請街口
買海外商品如果有退款就會退到街口

Ez是必填
首次會放行
之後沒填就不受理通關了
建議你有要買東西還是填吧",1,F
7c793435-a837-4dc3-9855-90b362e52e6e,234983761,2020-12-15T04:30:32.124Z,2020-12-15T04:30:32.124Z,5,B4 了解 謝謝你,0,F
